# length                 R                      Z                      theta_geo              Phi                    T_e                    Te_float               Phi_float              Phi_error              Phi_Te_ratio           vparB_norm             vExB_norm              vflow_norm             partF_vpar             partF_ExB              
# time step #000500,  t_now =   1.411010E+02
  0.000000000000000E+00  1.579589656102563E+00 -1.199433262635054E+00  4.653788641357274E+00  2.113655010574091E+00  7.045516701912495E-01  7.045516701912495E-01  2.113655010573749E+00  3.419486915845482E-13  3.000000000000485E+00  1.095910264414946E-12  6.531830976260247E+01  6.531830976260356E+01  8.684884899337891E+05  5.176354492950622E+19
  0.000000000000000E+00  1.579711972000091E+00 -1.198995244165320E+00  4.653869968398856E+00  2.057753890362139E+00  6.859179634539408E-01  6.859179634539408E-01  2.057753890361823E+00  3.161915174132446E-13  3.000000000000461E+00  1.102942222883766E+02  6.378022825772797E+01  1.740744505461045E+02  8.744531293991233E+19  5.056730900004566E+19
  0.000000000000000E+00  1.579834287897621E+00 -1.198557225695588E+00  4.653951356414447E+00  2.007164370092826E+00  6.690547900308550E-01  6.690547900308550E-01  2.007164370092565E+00  2.597921877622866E-13  3.000000000000389E+00  3.523209691365844E+02  5.291259794216695E+01  4.052335670787514E+02  2.794387792193307E+20  4.196693659908267E+19
  0.000000000000000E+00  1.579956603795151E+00 -1.198119207225856E+00  4.654032805471561E+00  1.969868770853383E+00  6.566229236177262E-01  6.566229236177262E-01  1.969868770853179E+00  2.038369473211787E-13  3.000000000000310E+00  5.935202742706439E+02  3.271325189955894E+01  6.262335261702027E+02  4.709163907025417E+20  2.595565337951476E+19
  0.000000000000000E+00  1.580078919692679E+00 -1.197681188756122E+00  4.654114315637816E+00  1.953849413731046E+00  6.512831379102890E-01  6.512831379102890E-01  1.953849413730867E+00  1.783018177548001E-13  3.000000000000274E+00  7.022949834212598E+02  3.180023213596993E+00  7.054750066348568E+02  5.574545171655188E+20  2.524179079957230E+18
  0.000000000000000E+00  1.580202005791068E+00 -1.197240412164100E+00  4.654196400814737E+00  1.964670819664858E+00  6.548902732216478E-01  6.548902732216478E-01  1.964670819664944E+00 -8.548717289613705E-14  2.999999999999869E+00  7.043818135408247E+02 -2.997272778229756E+01  6.744090857585272E+02  5.593909458225254E+20 -2.380310255135336E+19
  0.000000000000000E+00  1.580325091889457E+00 -1.196799635572079E+00  4.654278548010481E+00  2.008291281726948E+00  6.694304272425380E-01  6.694304272425380E-01  2.008291281727614E+00 -6.661338147750939E-13  2.999999999999005E+00  7.131919005029823E+02 -7.303097384904504E+01  6.401609266539373E+02  5.667001990179864E+20 -5.803019830363052E+19
  0.000000000000000E+00  1.580448177987846E+00 -1.196358858980058E+00  4.654360757294253E+00  2.093232388440478E+00  6.977441294805745E-01  6.977441294805745E-01  2.093232388441724E+00 -1.245670233629426E-12  2.999999999998214E+00  7.293364242135694E+02 -1.259970282948946E+02  6.033393959186749E+02  5.798621405642103E+20 -1.001744930134090E+20
  0.000000000000000E+00  1.580571264086235E+00 -1.195918082388036E+00  4.654443028735352E+00  2.228015728328608E+00  7.426719094433725E-01  7.426719094433725E-01  2.228015728330118E+00 -1.509459224280363E-12  2.999999999997967E+00  7.534218890923446E+02 -1.888732044281278E+02  5.645486846642168E+02  5.993537227928895E+20 -1.502502911697938E+20
  0.000000000000000E+00  1.580695053245394E+00 -1.195474788105264E+00  4.654525832867269E+00  2.418419818426210E+00  8.061399394756945E-01  8.061399394756945E-01  2.418419818427084E+00 -8.744116541947733E-13  2.999999999998915E+00  7.854198132696484E+02 -2.506409794580053E+02  5.347788338116432E+02  6.251539363694061E+20 -1.994973799697886E+20
  0.000000000000000E+00  1.580818842404555E+00 -1.195031493822492E+00  4.654608700009530E+00  2.661016859499786E+00  8.870056198330877E-01  8.870056198330877E-01  2.661016859499263E+00  5.222489107836736E-13  3.000000000000589E+00  8.236684456820761E+02 -3.095265970014304E+02  5.141418486806458E+02  6.559452689161797E+20 -2.464978572035535E+20
  0.000000000000000E+00  1.580942631563715E+00 -1.194588199539721E+00  4.654691630232946E+00  2.953304308733109E+00  9.844347695770632E-01  9.844347695770631E-01  2.953304308731190E+00  1.919797654181821E-12  3.000000000001950E+00  8.668125175264304E+02 -3.655293777069773E+02  5.012831398194531E+02  6.906510611950621E+20 -2.912432013922744E+20
  0.000000000000000E+00  1.581066420722875E+00 -1.194144905256949E+00  4.654774623608430E+00  3.292779623309949E+00  1.097593207769132E+00  1.097593207769132E+00  3.292779623307396E+00  2.552624778218160E-12  3.000000000002326E+00  9.135066322374844E+02 -4.186486422232877E+02  4.948579900141966E+02  7.281991839226689E+20 -3.337245607846634E+20
  0.000000000000000E+00  1.581190821563115E+00 -1.193699420518020E+00  4.654858090772811E+00  3.681116639600250E+00  1.227038879866037E+00  1.227038879866037E+00  3.681116639598113E+00  2.136957277798501E-12  3.000000000001742E+00  9.628882656119903E+02 -4.733723503605312E+02  4.895159152514590E+02  7.679037266689992E+20 -3.775146140272878E+20
  0.000000000000000E+00  1.581315222403355E+00 -1.193253935779092E+00  4.654941621858819E+00  4.113786204675486E+00  1.371262068224752E+00  1.371262068224752E+00  4.113786204674258E+00  1.227462576025573E-12  3.000000000000895E+00  1.014009662597262E+03 -5.207002803632323E+02  4.933093822340292E+02  8.090099756757913E+20 -4.154316637102368E+20
  0.000000000000000E+00  1.581439623243595E+00 -1.192808451040164E+00  4.655025216938743E+00  4.584351043166355E+00  1.528117014388679E+00  1.528117014388679E+00  4.584351043166037E+00  3.179678742526448E-13  3.000000000000208E+00  1.066121030745850E+03 -5.606306847401838E+02  5.054903460056667E+02  8.509213868935637E+20 -4.474657436036721E+20
  0.000000000000000E+00  1.581564024083836E+00 -1.192362966301236E+00  4.655108876084982E+00  5.086373879703556E+00  1.695457959901216E+00  1.695457959901216E+00  5.086373879703650E+00 -9.325873406851315E-14  2.999999999999945E+00  1.118478126429989E+03 -5.931618159998774E+02  5.253163104301111E+02  8.930454208050316E+20 -4.736082280534838E+20
  0.000000000000000E+00  1.581688916641732E+00 -1.191915720700314E+00  4.655192930429386E+00  5.613546438048131E+00  1.871182146016116E+00  1.871182146016116E+00  5.613546438048348E+00 -2.176037128265307E-13  2.999999999999884E+00  1.170661023462449E+03 -6.132920659704070E+02  5.573689574920421E+02  9.350503083747396E+20 -4.898590829592140E+20
  0.000000000000000E+00  1.581813809199628E+00 -1.191468475099392E+00  4.655277049494132E+00  6.153648805017306E+00  2.051216268339265E+00  2.051216268339265E+00  6.153648805017795E+00 -4.893863092547690E-13  2.999999999999762E+00  1.222204958352258E+03 -6.228923846806281E+02  5.993125736716298E+02  9.765657188676937E+20 -4.977032250326788E+20
  0.000000000000000E+00  1.581938701757524E+00 -1.191021229498470E+00  4.655361233352806E+00  6.697490339033971E+00  2.232496779678244E+00  2.232496779678244E+00  6.697490339034732E+00 -7.611689056830073E-13  2.999999999999659E+00  1.272923037361817E+03 -6.219602771981737E+02  6.509627601636438E+02  1.017443924675013E+21 -4.971311594265678E+20
  0.000000000000000E+00  1.582063594315420E+00 -1.190573983897548E+00  4.655445482079107E+00  7.235880398521013E+00  2.411960132840632E+00  2.411960132840632E+00  7.235880398521898E+00 -8.855138844410249E-13  2.999999999999633E+00  1.322629787963620E+03 -6.104932485906140E+02  7.121365393730058E+02  1.057538688554041E+21 -4.881337433656624E+20
  0.000000000000000E+00  1.582188825197155E+00 -1.190125526744464E+00  4.655530024234012E+00  7.761900649126567E+00  2.587300216375783E+00  2.587300216375783E+00  7.761900649127349E+00 -7.824851877558103E-13  2.999999999999698E+00  1.371392645519762E+03 -5.917874443958225E+02  7.796052011239393E+02  1.096907157112941E+21 -4.733406478210547E+20
  0.000000000000000E+00  1.582314056078889E+00 -1.189677069591380E+00  4.655614631757187E+00  8.270443386831507E+00  2.756814462277355E+00  2.756814462277355E+00  8.270443386832065E+00 -5.577760475716786E-13  2.999999999999798E+00  1.419196086900441E+03 -5.706246445412784E+02  8.485714423591621E+02  1.135537813462492E+21 -4.565724688442372E+20
  0.000000000000000E+00  1.582439286960624E+00 -1.189228612438296E+00  4.655699304723265E+00  8.759362232834308E+00  2.919787410944881E+00  2.919787410944881E+00  8.759362232834643E+00 -3.357314426466473E-13  2.999999999999885E+00  1.466130118530270E+03 -5.470042663615383E+02  9.191258521687322E+02  1.173504716242124E+21 -4.378275013020782E+20
  0.000000000000000E+00  1.582564517842359E+00 -1.188780155285213E+00  4.655784043206986E+00  9.226510808333451E+00  3.075503602777894E+00  3.075503602777894E+00  9.226510808333682E+00 -2.309263891220326E-13  2.999999999999925E+00  1.512284091425893E+03 -5.209257271909892E+02  9.913583642349038E+02  1.210881807417208E+21 -4.171038296623242E+20
  0.000000000000000E+00  1.582689901674890E+00 -1.188331150408757E+00  4.655868950898840E+00  9.671538526891265E+00  3.223846175630384E+00  3.223846175630384E+00  9.671538526891151E+00  1.136868377216160E-13  3.000000000000035E+00  1.557841969606488E+03 -4.958949779330259E+02  1.061946991673462E+03  1.247819469937795E+21 -3.972080741062003E+20
  0.000000000000000E+00  1.582815285507417E+00 -1.187882145532300E+00  4.655953924418751E+00  1.009522433380858E+01  3.365074777935903E+00  3.365074777935903E+00  1.009522433380771E+01  8.650857807879220E-13  3.000000000000257E+00  1.602800135146339E+03 -4.722505159950442E+02  1.130549619151295E+03  1.284316942351313E+21 -3.784123331579384E+20
  0.000000000000000E+00  1.582940669339943E+00 -1.187433140655842E+00  4.656038963842079E+00  1.049878529916149E+01  3.499595099719958E+00  3.499595099719958E+00  1.049878529915988E+01  1.616484723854228E-12  3.000000000000462E+00  1.647134017148813E+03 -4.499926717683948E+02  1.197141345380418E+03  1.320357597072860E+21 -3.607182151607730E+20
  0.000000000000000E+00  1.583066053172475E+00 -1.186984135779387E+00  4.656124069244296E+00  1.088343849302613E+01  3.627812831008055E+00  3.627812831008055E+00  1.088343849302417E+01  1.961097950697877E-12  3.000000000000540E+00  1.690819246525606E+03 -4.291217756442372E+02  1.261697470881369E+03  1.355925169834179E+21 -3.441272730456496E+20
  0.000000000000000E+00  1.583191369509080E+00 -1.186535372600155E+00  4.656209194833762E+00  1.125035477026118E+01  3.750118256753175E+00  3.750118256753175E+00  1.125035477025953E+01  1.659117287999834E-12  3.000000000000442E+00  1.733800081095406E+03 -4.099994662220583E+02  1.323800614873348E+03  1.390978127809272E+21 -3.289308243474338E+20
  0.000000000000000E+00  1.583316685843013E+00 -1.186086609420176E+00  4.656294386479859E+00  1.160116264153214E+01  3.867054213843715E+00  3.867054213843715E+00  1.160116264153115E+01  9.912071163853398E-13  3.000000000000257E+00  1.776021394080914E+03 -3.923569475402950E+02  1.383664446540619E+03  1.425476166949251E+21 -3.149148312737987E+20
  0.000000000000000E+00  1.583442002176946E+00 -1.185637846240198E+00  4.656379644260584E+00  1.193715909982964E+01  3.979053033276439E+00  3.979053033276438E+00  1.193715909982932E+01  3.250733016102458E-13  3.000000000000081E+00  1.817390400392347E+03 -3.761945716872474E+02  1.441195828705100E+03  1.459348544175963E+21 -3.020809400116584E+20
