# length                 R                      Z                      theta_geo              Phi                    T_e                    Te_float               Phi_float              Phi_error              Phi_Te_ratio           vparB_norm             vExB_norm              vflow_norm             partF_vpar             partF_ExB              
# time step #000500,  t_now =   1.411010E+02
  0.000000000000000E+00  1.579589656102563E+00 -1.199433262635054E+00  4.653788641357274E+00  2.138764632376441E+00  7.129215441253781E-01  7.129215441253781E-01  2.138764632376135E+00  3.064215547965432E-13  3.000000000000430E+00  1.446369275016716E-12  6.778228162561030E+01  6.778228162561173E+01  1.148205323779912E+06  5.380920209299631E+19
  0.000000000000000E+00  1.579711972000091E+00 -1.198995244165320E+00  4.653869968398856E+00  2.079787046443826E+00  6.932623488144959E-01  6.932623488144959E-01  2.079787046443488E+00  3.379518886958977E-13  3.000000000000487E+00  1.110723617390998E+02  6.828848751064159E+01  1.793608492497414E+02  8.821493347241683E+19  5.423549376606637E+19
  0.000000000000000E+00  1.579834287897621E+00 -1.198557225695588E+00  4.653951356414447E+00  2.024932189359668E+00  6.749773964530867E-01  6.749773964530867E-01  2.024932189359260E+00  4.072298054325074E-13  3.000000000000603E+00  3.548028614572668E+02  5.815592926515509E+01  4.129587907224218E+02  2.818955074471527E+20  4.620564536578894E+19
  0.000000000000000E+00  1.579956603795151E+00 -1.198119207225856E+00  4.654032805471561E+00  1.983302840637502E+00  6.611009468790084E-01  6.611009468790086E-01  1.983302840637026E+00  4.765077221691172E-13  3.000000000000721E+00  5.976906729052632E+02  3.738213580816768E+01  6.350728087134310E+02  4.750484350954131E+20  2.971156472941821E+19
  0.000000000000000E+00  1.580078919692679E+00 -1.197681188756122E+00  4.654114315637816E+00  1.964001779790864E+00  6.546672599301187E-01  6.546672599301187E-01  1.964001779790356E+00  5.078160114635466E-13  3.000000000000776E+00  7.072046157555606E+02  5.964636058754632E+00  7.131692518143152E+02  5.623264379040623E+20  4.742718689314839E+18
  0.000000000000000E+00  1.580202005791068E+00 -1.197240412164100E+00  4.654196400814737E+00  1.973321493022711E+00  6.577738310074034E-01  6.577738310074034E-01  1.973321493022210E+00  5.004885395010206E-13  3.000000000000761E+00  7.091572466096917E+02 -2.889418981386479E+01  6.802630567958270E+02  5.641624632165074E+20 -2.298646368766092E+19
  0.000000000000000E+00  1.580325091889457E+00 -1.196799635572079E+00  4.654278548010481E+00  2.015942385870956E+00  6.719807952901572E-01  6.719807952901572E-01  2.015942385870472E+00  4.840572387365683E-13  3.000000000000720E+00  7.175772191328430E+02 -7.141265526878561E+01  6.461645638640573E+02  5.711778606243116E+20 -5.684311955613411E+19
  0.000000000000000E+00  1.580448177987846E+00 -1.196358858980058E+00  4.654360757294253E+00  2.098452725353258E+00  6.994842417842633E-01  6.994842417842633E-01  2.098452725352790E+00  4.676259379721159E-13  3.000000000000669E+00  7.329591159691380E+02 -1.215925487862159E+02  6.113665671829222E+02  5.837601643675647E+20 -9.684153552201843E+19
  0.000000000000000E+00  1.580571264086235E+00 -1.195918082388036E+00  4.654443028735352E+00  2.227440778487276E+00  7.424802594956048E-01  7.424802594956048E-01  2.227440778486815E+00  4.609645998243650E-13  3.000000000000621E+00  7.557937085156263E+02 -1.794356588463947E+02  5.763580496692317E+02  6.022945488237258E+20 -1.429928801604238E+20
  0.000000000000000E+00  1.580695053245394E+00 -1.195474788105264E+00  4.654525832867269E+00  2.408381399963897E+00  8.027937999876179E-01  8.027937999876179E-01  2.408381399962854E+00  1.042277375518097E-12  3.000000000001299E+00  7.861351955921633E+02 -2.382622246003671E+02  5.478729709917963E+02  6.268256532705837E+20 -1.899786136306100E+20
