# length                 R                      Z                      theta_geo              Phi                    T_e                    Te_float               Phi_float              Phi_error              Phi_Te_ratio           vparB_norm             vExB_norm              vflow_norm             partF_vpar             partF_ExB              
# time step #000500,  t_now =   1.411010E+02
  0.000000000000000E+00  1.579589656102563E+00 -1.199433262635054E+00  4.653788641357274E+00  2.144723115782834E+00  7.149077052611007E-01  7.149077052611007E-01  2.144723115783302E+00 -4.680700271819660E-13  2.999999999999345E+00 -1.186869817482729E-12  6.674935431358188E+01  6.674935431358068E+01 -9.162455169028410E+05  5.152949021459861E+19
  0.000000000000000E+00  1.579711972000091E+00 -1.198995244165320E+00  4.653869968398856E+00  2.087085426205494E+00  6.956951420682707E-01  6.956951420682707E-01  2.087085426204812E+00  6.816769371198461E-13  3.000000000000980E+00  1.064946831119137E+02  6.654421553997290E+01  1.730388986518866E+02  8.224969207136541E+19  5.139450231089553E+19
  0.000000000000000E+00  1.579834287897621E+00 -1.198557225695588E+00  4.653951356414447E+00  2.033269123495344E+00  6.777563744973775E-01  6.777563744973775E-01  2.033269123492133E+00  3.211653165635653E-12  3.000000000004738E+00  3.414855938335313E+02  5.782722675575039E+01  3.993128205892817E+02  2.638436456098444E+20  4.467932644380315E+19
  0.000000000000000E+00  1.579956603795151E+00 -1.198119207225856E+00  4.654032805471561E+00  1.990557067907967E+00  6.635190226340750E-01  6.635190226340749E-01  1.990557067902225E+00  5.742073483361310E-12  3.000000000008654E+00  5.789213308220152E+02  4.059641092329569E+01  6.195177417453109E+02  4.474615565769033E+20  3.137789584878551E+19
  0.000000000000000E+00  1.580078919692679E+00 -1.197681188756122E+00  4.654114315637816E+00  1.966232119698944E+00  6.554107065640169E-01  6.554107065640169E-01  1.966232119692051E+00  6.892486581477897E-12  3.000000000010516E+00  6.936659469657701E+02  1.484979100504867E+01  7.085157379708188E+02  5.363720967747790E+20  1.148249178568694E+19
  0.000000000000000E+00  1.580202005791068E+00 -1.197240412164100E+00  4.654196400814737E+00  1.960559570293993E+00  6.535198567626802E-01  6.535198567626802E-01  1.960559570288041E+00  5.952349724225314E-12  3.000000000009108E+00  7.058276656326229E+02 -2.464807329021015E+00  7.033628583036019E+02  5.460412558767720E+20 -1.906820255092451E+18
  0.000000000000000E+00  1.580325091889457E+00 -1.196799635572079E+00  4.654278548010481E+00  1.971841654102797E+00  6.572805513663046E-01  6.572805513663046E-01  1.971841654098914E+00  3.883338095533873E-12  3.000000000005908E+00  7.242832630448988E+02 -2.454347733908642E+01  6.997397857058124E+02  5.606129924118327E+20 -1.899725283918964E+19
  0.000000000000000E+00  1.580448177987846E+00 -1.196358858980058E+00  4.654360757294253E+00  2.004176665816106E+00  6.680588886047638E-01  6.680588886047638E-01  2.004176665814291E+00  1.814104422237506E-12  3.000000000002716E+00  7.579103780967373E+02 -5.138733156641918E+01  7.065230465303182E+02  5.869521973808702E+20 -3.979613955965558E+19
  0.000000000000000E+00  1.580571264086235E+00 -1.195918082388036E+00  4.654443028735352E+00  2.061662900124668E+00  6.872209667079316E-01  6.872209667079316E-01  2.061662900123795E+00  8.730793865652231E-13  3.000000000001270E+00  8.155212028945022E+02 -8.299748255230224E+01  7.325237203421999E+02  6.318847391920036E+20 -6.430837411708445E+19
  0.000000000000000E+00  1.580695053245394E+00 -1.195474788105264E+00  4.654525832867269E+00  2.158169988417507E+00  7.193899961391954E-01  7.193899961391954E-01  2.158169988417586E+00 -7.949196856316121E-14  2.999999999999889E+00  8.929536382386657E+02 -1.403055335656942E+02  7.526481046729716E+02  6.921966588676909E+20 -1.087615497556935E+20
